user_id,tweet
1331326593415983104,"@MJDuzan @petrogustavo @AABenedetti Volteada es pasar de Semana a la W, definitivamente el periodismo tradicional necesita del stratus quo"
1331326584842842113,Quien por la autónoma o cerca con sitio para culeo firme?
1331326581143384071,En equipo con @Ambientebogota realizamos plateo a individuos arbóreos y arbustivos en el Parque Ecológico Distrital… 
1331326569655242752,"@FredyTosana @CatalinaSuarezB Con una chicha de Rodilon. Nombre tampoco, la solución o no votar más nunca por este… "
1331326545391136768,@OFForero @torrenegra Cierto! Esos son los consejos que uno debe tener!
1331326537581416448,"@TorresTavo @DIRECTVGO Hola Tavo, gracias por el enlace.  Este tema de @DIRECTVGO no es claro porque no todos los S… "
1331326525363396608,@VivianaOnate Ojalá Vivi...
1331326524050575362,"@Mujer_Mamerta A mí me gusta, me siento cómodo"
1331326523261980673,"@Jorgebta Qué no es Transmilenio, no es la misma infraestructura. Me parece una buena propuesta."
1331326522196635648,Aleña es más que Riqui Puig? Que rabia la del hpta de Koeman!! 😒😒
1331326513363513350,fap y nos seguimos en ig B)
1331326508523196418,Ter Stegen con la cinta de capitán 😍
1331326499492950022,"@SVargasOK @Globe_Soccer Y Bianchi, Maturana, Gallardo, Sabella, Rueda ? muy europea la selección sin desconocer qu… "
1331326496972136451,@ChriGarces @JuanManSantos @JEP_Colombia El error ha sido permitir que desgraciados que solo apuestan por violencia… 
1331326480589201408,Presentarán informe ‘Por una Paz completa para las Mujeres’ en el Meta  vía @PeriodicodMeta
1331326477812555777,@CantorVis 🤬🤬🤬 Pa coger a ese par de H.P y ponerlos a comer física 💩💩💩
1331326472657756164,Esa alineación del Barcelona hoy la veo bien jodona.. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️
1331326471068114945,"-Vamos lento, Ok?-Ok-Mi mamá te mando arroz de coco, pescado en zumo de coco y ensalada de aguacate, ¿Y que donde vas a pasar el 24?."
1331326458967564288,Solo por la canción “El mismo aire” @CamiloMusica merecía la nominación en los #GRAMMYs
1331326435387187200,"Mamá, habemus grado"
1331326434011475969,#Cabrera #Salud 🥕🏃🏼‍♀️|| Desde la administración municipal de Cabrera en conjunto con la Gobernación de Cundinama… 
1331326417418719235,Siendo las 2:59 PMAparece GREG PEÑA SALSA BANDGREG PEÑA SALSA BAND - TE VUELVES LOCA 
1331326410854699009,Un día cotidiano en #Medellín 1980 la calle Colombia con Bolívar... Al fondo la comuna 13 apenas asentándose... 
1331326352549679106,Necesito mil abrazos y un tarro de helado parce.
1331326350356078600,@NANIISCDLM_17 Y regalar 😍🍃🌿Gracias por compartir
1331326347319390218,"Lo siento, a veces es difícil sacar el celular en la calle pero feliz martes! Bogotá y su clima Bipolar! ☀️⛅🌧️🌦️🌂🌈… "
1331326317166546947,Yo estoy pa ti las 24 horas #Dakiti
1331326300938768385,@Bogdanfujimori @MaeseLoboZ @saragiraldoa Gustos de qué bobo grandohijodelastresmilputasssssz
1331326293728776194,Cogiendo calle 
1331326289609961472,@OmarHSP79 . Ya se la enviamos vía WhatsApp
1331326272870506500,@AABenedetti No sé cuál es su angustia o mejor pretende que le creamos cuando usted es más falso que @ClaudiaLopez… 
1331326269884141568,🤤🤤🤤 (@ La Monumental De Las Ventas in Bogotá)  https://t.co/0Owbzbyzp2
1331326254381998085,@usag8108 Sabrá la madre de ella
1331326253501214722,No soy de ti ni de nadie 👅
1331326247339745284,No juega Messi pero juega Cristiano 💚
1331326231678242824,No solo pasa con las viejas jajaja. 
1331326227827855361,"@petrogustavo Si la Colombia desumanizada no hace márketing con los muertos,tapele la boca a su lacayo el congresis… "
1331326218734620674,Cuando tu sobrino te seguiré estudiar medicina animal!jajajajaja
1331326216759087106,Cuando le van a poner un freno a esos 🤬🤬🤬 Que hacen Plata a punta de abusos y estupideces. 
1331326214020214793,Estos son los “Influencer” de Colombia 🙄 
1331326194424410115,Siempre las cosas aparecen cuando se dejan de buscar.
1331326189693177857,@pedrochandoqui Gracias Pedro 😍
1331326180465717248,@HFCardonaG @carloseb3 Porque el gobierno cree en el darwinismo social...están convencidos que esos que mueren son buenos muertos.
1331326139042848768,Kean no está en la formación del PSG hoy 🥺
1331326132675883011,"@alonso19511 @CaracolRadio @ClaudiaLopez Si señor, era su deber proteger al ciudadano, usted les paga su salario co… "
1331326107333906432,@2010MisterChip Wuao 🤩
1331326106818011138,@juanfelo81 Y aferrados al poder y sus privilegios.
1331326070424018944,NO podemos llamar broma a actos que atenten contra la vida y la integridad de una persona!¡REPUDIO TOTAL! 
1331326068662398977,"@prince_bueno @SoyConanEdowaga @nelsonramirezso @MafeCarrascal @ClaudiaLopez Muestre las pruebas, dónde están las i… "
1331326043861491714,"Solo cuatro horas de sueño, me estoy desplomando. 🥴"
1331325959618899976,Lo más hermoso que he visto hoy 
1331325909719248903,@CallmePoli_ No que las estaban regalando? :(
1331325907848597505,"@tobipunk_13 Este, Aunque aquí concretamente habla del Grammy Latino, pero asumo que a nivel general debe ser el mi… "
1331325895492194305,@ReporteYa @franciscoamarin Y el petróleo q entra a esa isla de forma ilegal porq Nicolás maduro es un usurpador po… 
1331325872461275142,@fdbedout @IvanDuque Cuando usted va a reconocer que la que ejecuta las masacres es la nueva guerrilla o dejan de p… 
1331325857860870144,Juzguen ustedes 
1331325854606106625,@pichi1307 ASÍ ES AMIGA.... PARÁSITOS.. CHUPA SANGRE.
1331325834720915458,Les vengo a presumir mi fondo de pantalla. ADMÍRENLO y denle amor. 
1331325831004774402,@PolvosDeLuna El jueves si caminamos?
1331325822557429760,@JuanManSantos @DeLaCalleHum @RoyBarreras @CristoBustos @RafaelPardo @Gr_Naranjo @riveraguillermo El mejor Acuerdo… 
1331325815842369539,@millersoto @BlancaMercedesR Así es !!
1331325811220213763,@RecordingAcad ¿Como van a hacer con el premio a Best New Artist porque Doja y Megan merecen?
1331325804131790848,"Infórmese, vieja MAMERTA, antes de hablar  https://t.co/aXWakNPbeF"
1331325773031071751,"@tatianamt23 Jajajaja últimamente no me gusta, la cuarentena hizo que me dejara de gustar🤣😞"
1331325767876292608,Soy Una de ellas jajaja 
1331325731419414536,Pisando lugares corruptos pero agradables#BorondoProject#NeismoIlustrado 
1331325729712332800,"Y mi último semestre será así, que porquería "
1331325723827703809,@karolcrisv 🤭 lo siento fue inevitable 🤭
1331325719012577282,@SaraCoronel01 Espero que cuando llegue a Pailitas ya estén
1331325718354161665,"Si tú te pudieras ver,como yo te veo🤩🤣"
1331325703695048704,"Por q tanto misterio para meter preso a este señor? Esta más q comprobado q acabo con la universidad, ES UNA RATA "
1331325683897933828,Tiene 💩 en la cabeza cómo se les ocurre hacer eso que maldad 😌 ahora salen llorando 
1331325680324370435,"@NoticiasRCN URGENTE !! EMERGENCIA ESTATAL, por fraude en EEUU  a punto de ser declarada !DELITO FEDERAL !!… "
1331325657381548040,@dvadarkangel86 Haces bien
1331325652994314240,@45SegundosCom La ignorancia la atropella dime con quien andas.
1331325635579490306,@rata_charlatana “El Chato” presente 👆 y “Andy” tras la cámara tomando la foto  📸
1331325619985068036,"@hliving6 @CatalinaSuarezB La respuesta es sencilla, fue por lo bandido, además la cara lo acompaña, es una rata de alcantarilla!"
1331325610510196737,Que pase al siguiente filtro!🤯 
1331325600271720448,"Uds que todo lo saben:Donde se puede estudiar pedagogía en idiomas como pregrado?  Nocturno, claro esta"
1331325581305257991,Estoy al borde de la locura con la gente imprudente🤯🤯😰
1331325576884473859,#AEstaHora aprobamos en 2do debate las Vigencias Futuras para el #PAE de @AntioquiaMana de lo cual somos ponentes.… 
1331325565970882563,"Escribirle al corazón no es tan sexi, como follar en baños públicos y derramarse fácil."
1331325555640332290,"@NanyPardo Por tus acciones os dais a conocer,si fwstejas los ataques a @petrogustavo , contribuyes con el centro o… "
1331325543699144704,Vaya vaya vaya 
1331325535079849987,Cuando uno a veces necesitas un consejo se da cuenta que más solo está
1331325534215737346,"@CamiloRomero @ClaudiaLopez Camilo, lastimosamente #claudialopez ha convertido su gobernanza en un seudo Reality Sh… "
1331325532063973377,@VivaAirCol buenas para confirmar si tengo una reservación a cartagena com uds. Gracias
1331325493606457344,"@emiliolagos1 Piensan como mafiosos, hablan como mafioso, se comportan como mafiosos. Sin mafiosos!! Lo que sabe el… "
1331325488464355329,"@Margaritarosadf Que ricoooo, 😃😃😃😃"
1331325478653800448,@Makarrrma @BudweiserCo Ya solo me mencionas para concursos? Has roto mi corazón. 💔💔💔
1331325472668573698,@ttblinksel Sería maravilloso hay que seguir con el Stream LGO y Dynamite
1331325466121277440,"@ClaudiaLopez Claudia, no estamos en época pre-electoral, para estar debatiendo la propuesta de @CarlosFGalan . La… "
1331325463600435202,#ElCarteldeAristizabal @Supersalud  que en mi caso le mintio @CIDH enfermedad huerfana neurodegenerativa nada de so… 
1331325453295120384,"Ayer nació mi sobrino, y ni medio whatsapp preguntándome que el mio pa cuando, me ha quitado la felicidad, cabe acl… "
1331325450803695623,"Te deje de hablar, no de querer."
1331325436916326401,"Tiven, meses atrás hablábamos casi todos los días sobre este tema, hoy tenerlo ""cerca"" parece increíble. "
1331325426250215424,@kienyke @AndresVergaraB vea esto su merced
1331325419379957761,@JhonJai66247105 @ElRepublicano09 @MirandaBogota Y usted siga convencido que el agua y petroleo le van a durar toda… 
1331325418356559876,"Ve, ¿estos también entran dentro de la limpieza social que predican con tanto fervor? ¿o solo es para los ladrones… "
1331325410148290562,A @marioriorda le leo hasta lo que escriba en una servilleta. Es un crack! Hace un par de semanas estoy leyendo su… 
1331325406784466952,@NoticiasCaracol El estado debe garantizar la vacunacion de toda la poblacion
1331325398899154944,"Realidades @petrogustavo , no lo puedes ocultar es la historia.Ella te juzga ...... "
1331325393425608707,Empresarios de latinoamerica se reunen en el Movistar Empresas Hispam Digital Forum  vía… https://t.co/kjtw6hY4bb
1331325390476947456,@SoyConanEdowaga @prince_bueno @nelsonramirezso @MafeCarrascal @ClaudiaLopez -_- en ese mismo orden de ideas los Ur… 
1331325369547427841,"@alonso19511 @CaracolRadio @ClaudiaLopez La Alcaldesa, q no debe nada, fue lo mejor q pudo hacer, ser solidaria con… "
1331325367030751233,Que lo metan a la cárcel 🤬🤬😠😠😡 
1331325349951631364,"Uy, @mjsarmientoa, como puedes mentir así!? "
1331325341198061569,El rival del Junior en suelo Barranquillero 
1331325337691586560,"@RevistaSemana @VickyDavilaH Y sino, a quien entrevista y de dónde viene el sobre !!!"
1331325322449604613,@AlarconUbaldo16 Y si tiene los 2 atributos
1331325316250411008,Quiero helado de vainilla
1331325306926493699,Y eso que es de carrera 
1331325300723027970,@noticucuta Gracias por el apoyo ♥️
1331325237296820224,Pobre churrias . Estan cagaos si ese pelao sale a la politica. Los barre a esa recua de bandidos. 
1331325231508713472,Devuelvan esos paquetazos 
1331325226550902789,"@Lauraggils Ok, Salud Hernández del partido Verde"
1331325206552584195,@CallmePoli_ Regálame una
1331325201246810112,@LopezAle04 AMÉN 🙏 GRACIAS ❤ 
1331325201188073477,@lilimariagomez Vivo....
1331325189922172931,La busca de likes ha llevado a la humanidad a la estupidez. 
1331325181055397890,Qué rico se siente saber que vas para tu tierra 🤙🏻
1331325178471718913,"@LidoPimienta Lido, Lido, Lido.... Esto es tuyo y te lo mereces. 💪"
1331325167444914179,"@ClaroColombia si se va a cancelar un plan, mejor hacerlo personalmente porq por teléfono Engañan y nunca lo cortan… "
1331325166413025281,@rancherocali @anitacm22 U hoy juega el Cali? 🙄
1331325165188345862,¡No me pidan que no crea! Ellos nos enseñaron a creer y tener FE y sé que el equipo de Harold también va lograr da… 
1331325155310755841,David me gusta tanto mrk. :( Lo que más me gusta es que no es intenso pero siempre está
1331325146754387970,Llueve :v 
1331325144460120065,@anngie1989  le puse dos opciones porque una no me gusto 
1331325119688486912,Deberia existir un servicio o una empresa para hacer tramites de cancelación de contratos con las empresas de telec… 
1331325117775949824,Qué horror 
1331325113841684481,Pienso en como soy cuando hago lo que amo. Y así es como quiero ser el resto de mi vida.
1331325091792228355,"@JoseFer22809826 El uribismo es una mafia, como la hemos visto en las películas de El Padrino, el hijo del capo se… "
1331325086679379974,"Yo te podría dar &amp; te daría lo que soy, lo que no tengo.🥰"
1331325077586112520,Amo consetirme😍.
1331325072452292608,Freddie Mercury es el mejor sagitariano 💙 #FreddieTuesday mi canción es Love of my life 💙💙 @UribeDJ @laxmasmusica
1331325053661798402,@AndreitaCardi Lo puedo notar
1331325041129218054,"@franch_laura El pintor expresa a la perfección la pasion,el erotismo y la belleza de los cuerpos. Se siente la fuerza en cada pincelada.😍"
1331325032044376064,Solo hay tiempo para amar.
1331325018907799553,"@Jhonni95915006 Eso es ser realmente un miserable, que asco de ser humano ..."
1331324996216442883,Llegó tu turno ManUtd 🔴🏴󠁧󠁢󠁥󠁮󠁧󠁿
1331324987098206215,@alemEmbajador Cuando dos asesinos no dejan de hacerlo. ¿ cree usted que se van a reivindicar?
1331324979586207751,@ChimuelaTfy Espectacular y encantadora 💋🌷
1331324961034792961,"@andresymarin 02:53"" pm. La hora en Colombia. 👍👍👍"
1331324957905870858,@LauraOrtizH @Laura_perezc Obvio. Cumplo yo.
1331324950079266816,@albertovidalesh Don hediondo.. inbañable..de apellido cepeda..
1331324933495017473,@JhonJai66247105 @CarraTan @EnriquePenalosa Podrá echarse todos los discursitos de Comunismo y socialismo. Pero eso… 
1331324925928497153,Como hace uno para revocar una licitación y de pasó desactiva las acciones? De verdar da pena el nivel de debate qu… 
1331324915472084995,Bien merecido 
1331324899860897793,¡Fantástica noticia!Ojalá podamos leerla pronto. 
1331324890356404225,"Yo ya no se que es eso, no tengo una de esas hace como tres años. 🤔 "
1331324879187095560,Jajajajajaaja 
